id,region_id,identifier,name,subtitle
1,4.0,canalave-city,Canalave City,
2,4.0,eterna-city,Eterna City,
3,4.0,pastoria-city,Pastoria City,
4,4.0,sunyshore-city,Sunyshore City,
5,4.0,sinnoh-pokemon-league,Pokémon League,
6,4.0,oreburgh-mine,Oreburgh Mine,
7,4.0,valley-windworks,Valley Windworks,
8,4.0,eterna-forest,Eterna Forest,
9,4.0,fuego-ironworks,Fuego Ironworks,
10,4.0,mt-coronet,Mt. Coronet,
11,4.0,great-marsh,Great Marsh,
12,4.0,solaceon-ruins,Solaceon Ruins,
13,4.0,sinnoh-victory-road,Victory Road,
14,4.0,ravaged-path,Ravaged Path,
15,4.0,oreburgh-gate,Oreburgh Gate,
16,4.0,stark-mountain,Stark Mountain,
17,4.0,spring-path,Spring Path,
18,4.0,turnback-cave,Turnback Cave,
19,4.0,snowpoint-temple,Snowpoint Temple,
20,4.0,wayward-cave,Wayward Cave,
22,4.0,ruin-maniac-cave,Ruin Maniac Cave,
23,4.0,trophy-garden,Trophy Garden,
24,4.0,iron-island,Iron Island,
25,4.0,old-chateau,Old Chateau,
26,4.0,lake-verity,Lake Verity,
27,4.0,lake-valor,Lake Valor,
28,4.0,lake-acuity,Lake Acuity,
29,4.0,valor-lakefront,Valor Lakefront,
30,4.0,acuity-lakefront,Acuity Lakefront,
31,4.0,sinnoh-route-201,Route 201,
32,4.0,sinnoh-route-202,Route 202,
33,4.0,sinnoh-route-203,Route 203,
34,4.0,sinnoh-route-204,Route 204,
35,4.0,sinnoh-route-205,Route 205,
36,4.0,sinnoh-route-206,Route 206,
37,4.0,sinnoh-route-207,Route 207,
38,4.0,sinnoh-route-208,Route 208,
39,4.0,sinnoh-route-209,Route 209,
40,4.0,lost-tower,Lost Tower,
41,4.0,sinnoh-route-210,Route 210,
42,4.0,sinnoh-route-211,Route 211,
43,4.0,sinnoh-route-212,Route 212,
44,4.0,sinnoh-route-213,Route 213,
45,4.0,sinnoh-route-214,Route 214,
46,4.0,sinnoh-route-215,Route 215,
47,4.0,sinnoh-route-216,Route 216,
48,4.0,sinnoh-route-217,Route 217,
49,4.0,sinnoh-route-218,Route 218,
50,4.0,sinnoh-route-219,Route 219,
51,4.0,sinnoh-route-221,Route 221,
52,4.0,sinnoh-route-222,Route 222,
53,4.0,sinnoh-route-224,Route 224,
54,4.0,sinnoh-route-225,Route 225,
55,4.0,sinnoh-route-227,Route 227,
56,4.0,sinnoh-route-228,Route 228,
57,4.0,sinnoh-route-229,Route 229,
58,4.0,twinleaf-town,Twinleaf Town,
59,4.0,celestic-town,Celestic Town,
60,4.0,resort-area,Resort Area,
61,4.0,sinnoh-sea-route-220,Sea Route 220,
62,4.0,sinnoh-sea-route-223,Sea Route 223,
63,4.0,sinnoh-sea-route-226,Sea Route 226,
64,4.0,sinnoh-sea-route-230,Sea Route 230,
65,2.0,blackthorn-city,Blackthorn City,
66,2.0,burned-tower,Burned Tower,
67,1.0,celadon-city,Celadon City,
68,1.0,cerulean-city,Cerulean City,
69,2.0,cherrygrove-city,Cherrygrove City,
70,2.0,cianwood-city,Cianwood City,
71,1.0,cinnabar-island,Cinnabar Island,
72,2.0,dark-cave,Dark Cave,
73,1.0,digletts-cave,Diglett's Cave,
74,2.0,dragons-den,Dragon's Den,
75,2.0,ecruteak-city,Ecruteak City,
76,1.0,fuchsia-city,Fuchsia City,
77,2.0,ice-path,Ice Path,
78,2.0,ilex-forest,Ilex Forest,
79,2.0,lake-of-rage,Lake of Rage,
80,1.0,mt-moon,Mt. Moon,
